Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
	Cosmas le diacre	Histoire de Siméon le Stylite  					Éd. AMS IV, 507-644 (d'après BL Add 12174 et 14484) ; BHO 1124 ; SS 422. 	Damas ; Add. 12174
Hom. 	Cyriaque de Behnasa	Homélie sur la compassion de la Vierge 		Homilia Cyriaci a Behnesa 			CANT 147 ; GCAL I, p. 475-76 et GCAL I, p. 247	232, 13h (garshuni) ; 233, 2 
	Cyriaque de Mardin 	Récit sur le corps de Jacques Baradée					Éd. / Trad. KUGENER, "Récit de Mar Cyriaque", 1902, p. 196-217. 	Damas 12/18
Litur. 	Cyrille d'Alexandrie 	Anaphore 					CPG 5437	70, 3 ; 74, 6 ; 77, 2
	Cyrille d'Alexandrie 	Discours				ܠܝܬ ܓܝܪ ܡܕܡ ܕܠܗܪܓܐ ܫܡܝܢܐ	CPG ?	195, 9e
Canon. 	Cyrille d'Alexandrie 	Lettre aux moines à propos des persécutions des hérétiques 		Epistula prima ad monachos de fide ?			Éd. / Trad. EBIED-WICKHAM, JThS 1971, p. 420-434 ; trad. NAU, ROC 14, 1909, p. 125-26 ; CPG 5400	62, 46
Canon. 	Cyrille de Jérusalem 	Canons sur le baptême et le mariage					Cf. CPG 3615 et GRAF I, p. 337.	223, 1/20 ; 225
	Dadišo' Qaṭraya	Commentaire de l'Asketikon d'Abba Isaïe					Éd. / Trad. DRAGUET, Commentaire du livre d'Abba Isaïe, 1972 (d'après Paris 410, vosté 239, vosté 240 BL Or. 9369, Vatican 496)	410
Canon. 	Damase de Rome 	Sentences 					Trad. NAU, ROC 14, 1909, p. 38.	
	Daniel de Mardin	Livre des fondements de la foi						Charfet 014
	Daniel de Ṣalaḥ 	Commentaire sur les Psaumes 					Éd. / Trad. DIETTRICH, 1901 ; BAUMSTARK §. 27i, p. 179-180.	Paris BnF syr. 390 (D7)
	Daniel de Scété	Histoire d'Anastasie la patricienne					Éd. NAU, "Vie et récits", 1900 ; BHO 242 ; SS 120	Paris syr. 234, 44
Hagio	Daniel de Scété	Histoire d'Andronic d'Antioche et de sa femme Athanasie 					Éd. : AMS VI, 405-417 (5 s.) (d'après le ms Paris BnF syr. 235 collationé avec London Add. 14649) ; trad. : NAU, "Vie et récits", 1900, p. 401-406 ; BHO 59 ; cf. BHG 120-123.	235, 23 ; Add. 12174
	Daniel de Scété	Histoire de la religieuse qui simulait la folie					Éd. NAU, "Vie et récits", 1900, p. 391-401 ; BHO 242 ; SS 120. 	Paris syr. 234, 44 ; Damas 12/18
	Daniel de Scété	Histoire d'Euloge le carrier					Cf. BHG 618 ; SS 120	Damas
Canon. 	David 	Nomocanon						223, 1 
Théol. 	David fils de Paul 	Dialogue entre un jacobite et un melkite à propos du trisagion 						203, 5 
Litt. 	David fils de Paul 	Poème sur l'alphabet syriaque 						197, 15 ; 215, 3 
Gramm. 	David fils de Paul 	Grammaire						Firenze BML Or. 100
	David fils de Paul 	Traité gramamtical						Firenze BML Or. 100
	David fils de Paul 	Traité sur les particules						Firenze BML Or. 100
Hom. 	David le phénicien 	Memra sur les tourments d'un homme en pays étranger 						209
Litur. 	David le phénicien 	Sedra de la résurrection 						175, 2
	Dawud al-Anṭaki	Dictionnaire de médecine						
	Denḥa	Commentaire du livre des Psaumes (selon la version pešiṭta)  					Cf. Duval, p. 73 ; Baumstark, p. 220.	Paris BnF syr. 351, 367, II
Litur.	Denys bar Ṣalibi	Anaphore 						72, 6 ; 73, 5
	Denys bar Ṣalibi	Canons						Paris BnF syr. 434, III
Litur. / Canon. 	Denys bar Ṣalibi	Canons pénitentiels 						111, 20 ; 224, 1 
	Denys bar Ṣalibi	Commentaire de l'Apocalypse					Éd. / Trad. SEDLACEK, 1909-1910. 	Strasbourg syr. 4127
Comm./ AT	Denys bar Ṣalibi	Commentaire de l'AT						66, 1 et 9, 2 (fragments) 
Comm. / NT 	Denys bar Ṣalibi	Commentaire du NT						67 et 68
Litur. 	Denys bar Ṣalibi	Explication de la liturgie 						198, 7 (abrégé et en karshouni) ;  206, 12 (entier ?) ; 208, 1 ; 209, 4 
? 	Denys bar Ṣalibi	Lettres						111, 20 et 21 
Litur.	Denys bar Ṣalibi	Rite de la confession 						110, 2
Litur.	Denys bar Ṣalibi	Rite de la pénitence 						109, 8
Litur. 	Denys bar Ṣalibi	Rite d'ordination 						113, 26
	Denys bar Ṣalibi	Traité contre les musulmans						Strasbourg syr. 4136
Théol. 	Denys bar Ṣalibi	Traité contre les nestoriens					Nau, François, ''Analyse du traité écrit par Denys bar Salibi contre les Nestoriens (ms. syriaque de Paris no 209, p. 181 à 380)'', Revue de l’Orient chrétien 14 (1909): 298-320. 	209, 2 
	Denys l'Aréopagite	Anaphore						76, 16
	Denys l'Aréopagite (attribué à)	Autobiographie et récit de sa vision à Baalbeck					  Éd. / Trad. KUGENER, 1907, p.  292-348 (= Recension B) ; BHO 255.	Paris BnF syr. 378, UC C
	Denys l'Aréopagite (attribué à)	Traité astronomique et météorologique					Éd. / Trad. KUGENER, 1905 	Paris BnF syr. 378, UC C
Litur.	Dioscore d'Alexandrie 	Anaphore 					CPG 5466	75, 10
Litur.	Dioscore de Gazarta	Anaphore						76, 17
Gramm. 	Élie de Nisibe	Grammaire de la langue syriaque					Éd. / Trad. GOTTHEIL, 1887.	Paris BnF syr. 426 ; Firenze BML Or. 100
Gramm. 	Élie de Nisibe	Texte grammatical						Firenze BML Or. 100
	Élie de Nisibe	Livre de l'expulsion de la tristesse						Paris BnF syr. 331
	Élie de Nisibe	Lexique arabe-syriaque						Firenze BML Or. 126
	Élisée, disciple de Malchus de Clysma (attribué à)	Histoire de Malchus de Clysma					Éd. AMS V, p. 421-469 (d'après Paris syr. 236 et BL 14733) ; BHO 587 ; SS 282.	236, 7 ; Damas
	Enanišo	Histoire de deux vieillards						197
Asc. / Hagio. 	Enanišo'	Apophtegmes des Pères		Apophtegmata / Oracula Patrum 			Cf. éd. / trad. BUDGE, The Book of Paradise, 1904, vol. 2, p. 432-768 (texte) ; vol. 1, p. 589-803 (trad.) ; CPG 5577 ; BHO 864-867 (pour le garshuni : cf. GCAL I, p. 380-387 ; CPG 5602-5605 ; BHO 868).	180 (extraits) , 195, 6 (extraits) ; = troisième section du Paradis de Bedjan, qui édite le ms. Par. Syr. 317 ; 204 ; 398 (apoph. de 12 pères)
	Enanišo'	Autre histoire de deux vieillards						
	Enanišo'	Histoire de deux frères au pays des Perses 			ܬܫܥܝܬܐ ܕܬܖ̈ܝܢ ܐܚ̈ܐ ܕܥܡܪܝܢ ܗܘܘ ܒܕܝܪܐ ܒܝܬ ܦܖ̈ܣܝܐ ܠܘ ܕܦܠܕܝܣ ܗܝ	ܬܫܥܝܬܐ ܚܕܐ ܚܒܝܒܝ . ܕܡܠܝܐ ܚ̈ܫܐ ܘܝܘܬܪܢܐ ܦܓܥܬ ܒܝ  	Éd. AMS VII, p. 281-285 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 391-394.	236, 23
	Enanišo'	Histoire de deux frères qui demeuraient dans une île						
	Enanišo'	Histoire de deux Pères nus					Éd. AMS, 1897, vol. 7, p. 251-252 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 358-359.	195, 5a
Hag. 	Enanišo'	Histoire de Jacques le Boiteux 					AMS VII, p. 164-172	235, 19 (=HL 47B)
Hag. 	Enanišo'	Histoire de Moïse l'Éthiopien 					Éd. : AMS VII, p. 219-226 ; BHO 378 ; SS 319.	235, 32 (=HL 19) Paradis des Pères 127
	Enanišo'	Histoire de Paphnuce, marchand spirituel					Éd. AMS, 1897, vol. 7, p. 400-408 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 548-555.	195 ; 236, 24 ; Add. 12174
Hagio. 	Enanišo'	Histoire de Sérapion 					Éd. AMS, 1897, vol. 7, p. 437-438 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 581-582.	195, 5j (n° 29 de l'HM selon la liste BHO ; n° 37  de l'HL) cf. CPG 5620 ; BHO 843  
Hagio. 	Enanišo'	Histoire de Taïsia, la courtisane qui se repentit 					Éd. AMS, 1897, vol. 7, p. 105-109, trad. anglaise BUDGE, The Book of Paradise, II, p. 207-211. Cf. BHO 1137.	197, 5 (abstente de l'HL) ; Paris BnF syr. 309 
	Enanišo'	Histoire d'Hélène						197
	Enanišo'	Histoire d'Honorius						
	Enanišo'	Histoire du prêtre Dioscore 					Pallade HL ?? N'existe pas, mais existent des Actes héroiques de Dioscore chez Enanisho, AMS VII, p. 410 (d'après Paris BnF syr. 317): c'est un prêtre de Thèbes: il faudrait pourvoir comparer les incipit. 	235, 18
	Enanišo'	Histoire d'un autre saint					Éd. AMS, 1897, vol. 7, p. 257-259 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 366-369.	
	Enanišo'	Histoire d'un solitaire qui paissait l'herbe près du Jourdain					Éd. AMS, 1897, vol. 7, p. 259-260 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 369.	
	Enanišo'	Histoire d'un vieillard nu					Éd. AMS, 1897, vol. 7, p. 252-253 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 360-361.	
	Enanišo'	Histoire d'un vieillard nu qui paissait avec les bêtes					Éd. AMS, 1897, vol. 7, p. 253-257 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 361-365.	
	Enanišo'	Histoire d'une femme et de sa fille						
Hag. 	Enanišo'	Le paradis des Pères	Histoire lausiaque	Historia Lausiaca 			CPG 6036 ; BHO 846-853 ; AMS VII ; BUDGE, The Book of Paradise, 1904 ; cf. GCAL I, p. 382 et suivv. (pour le garshuni)	195, 5 (extraits) ; 317 en entier (même si ms. lacunaire)  ; 398 (extraits)
Gramm. 	Enanišo'	Livre sur la variation de la phrase						Firenze BML Or. 100
Hagio. 	Enanišo' / Jérôme 	Histoire d'Ammon 			ܬܘܒ ܢܨܚܢܘ̈ܗܝ ܕܐܡܘܢ		Éd. AMS, 1897, vol. 7, p. 362-41 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 514.	n° 3 de l'HM 
Hagio. 	Enanišo' / Jérôme 	Histoire de Cyprius et Patermuthius 					Éd. AMS, 1897, vol. 7, p. 410-424 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 558-569.	n° 16 de l'HM ; Add. 12174
Hagio. 	Enanišo' / Jérôme 	Histoire de moines en Egypte 		Historia monachorum in Aegypto 			CPG 5620 ; BHO 843 	
	Enanišo' / Jérôme 	Histoire de Paul l'ermite					Éd. AMS V, p. 561-572 ; BHO 913-14	(Damas)
Hagio. 	Enanišo' / Jérôme 	Histoire de Philémon 					Éd. AMS, 1897, vol. 7, p. 436-437 ; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 580-581. 	n° 27 de l'HM 
	Éphrem le Syrien	Lettre en vers				ܠܪܚܡܐ ܓܡܝܪܐ ܕܚܟܡܬܐ		403
Litur.	Éphrem le Syrien	Memra funèbre (non identifié)						122, 5/a3 ; 122, 5/b
Litur.	Éphrem le Syrien	Memra funèbre (non identifié)						122, 5/e
Litur.	Éphrem le Syrien	Memra funèbre (non identifié)						122, 5/f
	Éphrem le Syrien	Memra non identifié				Desinit : ܕܣܓܐܝܢ ܩܛܠܝ̈ ܚܪܒܐ ܆ ܘܠܐ ܐܝܟ ܩܛܠܝ̈ ܠܫܢܐ		fragment à la fin du 195
Hom. 	Éphrem le Syrien	Memra pour les vêpres du lundi de la semaine sainte 						189, 1/d
Hom. 	Éphrem le Syrien	Memra pour l'office des matines du vendredi de la semaine sainte						189, 1/i
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du dimanche de la Résurrection						189, 1/j
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du dimanche nouveau						189, 1/k
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du jeudi de la semaine sainte						189, 1/g
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du mardi de la semaine sainte						189, 1/e
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du mercredi de la semaine sainte						189, 1/f
Hom. 	Éphrem le Syrien	Memra pour l'office des nocturnes du vendredi de la semaine sainte						189, 1/h
Hom.	Éphrem le Syrien	Memra sur l’humilité, la componction, l'amour de la doctrine, le maître et le disciple						13, n°11 + 16, n° 9 et 19 (non identifié) 
Hom. 	Éphrem le Syrien	Memra sur la bonne conduite chrétienne 	Memra sur le blâme et la correction			ܐܝܢܐ ܕܪܫܐ ܗܘ ܙܕܩ ܗܘ ܕܢܗܘܐ ܪܡ ܡܢ ܡܪܫܘܬܐ		189, 1/b ; 196, 23
Hom. 	Éphrem le Syrien	Memra sur la bonne conduite chrétienne 				ܠܘ ܕܩܛܝܪܐ ܗܘ ܝܘܠܦܢܐ		189, 1/c ; 196, 22
Hom. 	Éphrem le Syrien	Memra sur la femme pécheresse 					GCAL I, p. 427	194, 17
	Éphrem le Syrien	Memra sur la fête de la mort de la Vierge						Paris BnF syr. 377, 2 
	Éphrem le Syrien	Memra sur la fête des épis 						Paris BnF syr. 377, 1
	Éphrem le Syrien	Memra sur la fin du monde				ܕܐܬܬ ܒܛ...ܬܗ ... ܐܢܫܐ ܕܫܦܪ ܠܗ ܘܛܥܡ ܡܘܬܐ ܕܨܒܝܢܗ		243
	Éphrem le Syrien	Memra sur la mort et la pénitence					Cf. GCAL I, p. 428.	194, 22
Hom. 	Éphrem le Syrien	Memra sur la pénitence 						177, 2
	Éphrem le Syrien	Memra sur la pénitence 					CPG 3915 ; GCAL I, p. 431.	Paris BnF syr. 193, b (karsh.)
Hom.	Éphrem le Syrien	Memra sur la pénitence						Firenze BML Or. 030 II (garshuni) ; Firenze BML Or. 099 (garshuni)
Hom. 	Éphrem le Syrien	Memra sur la résurrection et le jugement dernier 						190, b
	Éphrem le Syrien	Memra sur la sortie de l'âme du corps				ܬܡ ܢܒܬܕܝ ܘܢܥܠܡܟܡ ܝܐ ܐܚܒܐܝ ܐܠܠܗ		198 (garsh.)
	Éphrem le Syrien	Memra sur la venue du Messie					Cf. Biesen 2011, §70. 	13 n° 26
Hom. 	Éphrem le Syrien	Memra sur la vie monastique 						177, 4/a
Hom. 	Éphrem le Syrien	Memra sur la Vierge, Joseph et les juifs						232, 13d (garshuni)
Hom. 	Éphrem le Syrien	Memra sur l'amour de la doctrine 						190, a ; Firenze BML Plut. 1.12
Hom. 	Éphrem le Syrien	Memra sur l'Annonciation de la vierge						232, 13c (garshuni)
Hom. 	Éphrem le Syrien	Memra sur l'apôtre André et les anthropophages 						177, 4/j
Hom.	Éphrem le Syrien	Memra sur l'ascèse						Firenze BML Or. 030 II (garshuni)
Hom. 	Éphrem le Syrien	Memra sur le dimanche des Rameaux 				ܠܥܕܥܐܕܐ ܡܠܐ ܦܘܖ̈ܫܢܐ ܐܙܕܡܢܬܘܢ ܚܒܝܒܝ̈		189, 1/a (aucun n'est identifié)
Hom.	Éphrem le Syrien	Memra sur les solitaires et les anachorètes 						190, d
Hom. 	Éphrem le Syrien	Memra sur l'exil 						197, 10 
Hom. 	Éphrem le Syrien	Memra sur l'humilité 						190, c
	Éphrem le Syrien	Memra sur Marie, Joseph et l'opprobre des Juifs					Cf. ASSEMANI, Bibliotheca Orientalis, 1719, t. 1, p. 139 n°1	Paris BnF syr. 377, 16
Hom. 	Éphrem le Syrien	Memra sur Prov. 96, 11				ܢܘܗܪܐ ܕܕܢܚ	Cf. Biesen 2011, § 102	14
Hom. 	Éphrem le Syrien	Memre pour la semaine sainte 						
Litur. 	Éphrem le Syrien	Prières 						145, 6 ; 177, 1
	Éphrem le Syrien	Hymne d'actions de grâces après le repas				ܦܫܘܛ ܡܪܝܐ ... ܦܬܘܪܢ		196, 90
	Éphrem le Syrien	Hymne d'actions de grâces				ܒܪܝܟ ܛܒܐ ܕܦܫܛ ܐܝܕܗ		196, 91
	Éphrem le Syrien (attribué à)	Memra sur le silence 					voir à Isaac d'Antioche	197, 9 
Théol. 	Éphrem le Syrien (Attribué à)	Dialogue d'Éphrem avec son neveu et disciple Abraham sur les juifs et les chrétiens 						203, 6 (karchouni) 
Hagio.	Éphrem le Syrien (Attribué à)	Histoire d’Abraham de Qidun et de sa nièce 					SS 25 ; BHO 16-17 ; AMS VI, p. 465-499, d'après l'édition de T. J. Lamy en 1891 ("Acta Beati Abrahae Kidunaiae Monachi", Analecta Bollandiana 10, p. 6-49) à partir des mss : BL Add. 14, 644 et 12, 160 et des mss Paris BnF syr. 234-235. Edition reprise dans Sancti Ephraem Syri Hymni et Sermones (1902), t. IV, p. 13-84 augmentée d'une trad. latine. cf. http://archive.org/stream/analectabolland00unkngoog#page/n7/mode/2up pour le premier titre et http://archive.org/stream/sanctiephraemsy03lamygoog#page/n8/mode/2up pour le deuxième. 	235, 2 ; 234, 20 ; 326 
Litur. 	Éphrem le Syrien (Attribué à)	Rogation des Ninivites 	Hymnes pour le jeûne de Ninive					184 ; 200,3
	Éphrem le Syrien (ou Balai), attribué à 	Hymne sur Joseph, fils de Jacob 					Éd. LAMY T. J., Sancti Ephraem Syri Hymni et Sermones, Malines,  1889, t. 3, col. 581-583 ; BAUMSTARK, §. 10, f, p. 62-63.	Paris BnF syr. 389 (A)
Hom.	Éphrem le Syrien / Jean Chrysostome (attribué à)	Memra sur l'Aveugle-né pour le sixième dimanche du carême					Cf. GCAL I, p. 425 (Ephrem) p. 344 (Chrysostome)	193, x (cf. Sauget,Homéliaire arabe de l'Ambrosienne, n° 41)
Litur. 	Éphrem le Syrien et Jacques de Saroug 	Hymnes 						145, 8
	Épiphane de Salamine	Extraits de l'Ancien Testament sur 92 questions						Paris BnF syr. 398 (en garshuni)
Comm. ? 	Épiphane de Salamine	Traité sur la prophétie						64, 15
Gramm. 	Épiphane de Salamine	Traité sur les accents grecs 						64, 4
Gramm. 	Épiphane de Salamine	Traité sur les poids et les mesures 					CPG 3746	64, 13 et 14 
	Épiphane de Salamine 	Homélie sur la fête des Rameaux 					CPG 3767 ; cf. GCAL I, p. 357	403
	Ésope	Fables					Cf. NAU, ROC 21, 1918-19, p. 308-309.	Paris BnF syr. 422
